45.7821896441, 4.87687992444;"{""type"": ""Point"", ""coordinates"": [4.876879924443671, 45.78218964412451]}";10002;INSA;Avenue Albert Einstein;au niveau du virage de l'avenue;VILLEURBANNE;2;Non;INSA, tram, itinéraires cyclables;45.7821896441246000;4.8768799244436700;40;OPEN;24;16;1;Vert;t;899;2015-07-01 16:09:17;2015-07-01 16:11:00
45.7323603634, 4.8534202156;"{""type"": ""Point"", ""coordinates"": [4.853420215601902, 45.732360363435546]}";8057;Vienne  / Montagny;184 route de Vienne;;Lyon 8 ème;57;Non;Maillage;45.7323603634356000;4.8534202156019000;20;OPEN;7;12;1;Vert;t;786;2015-07-01 16:01:24;2015-07-01 16:11:00
45.7520997282, 4.91464300868;"{""type"": ""Point"", ""coordinates"": [4.914643008684631, 45.75209972821923]}";10016;Place de la paix;10 place de la Paix;;VILLEURBANNE;16;Non;Maillage, espace public, centre quartier;45.7520997282193000;4.9146430086846300;17;OPEN;11;6;1;Vert;t;924;2015-07-01 16:08:23;2015-07-01 16:11:00
45.7332373892, 4.87863205917;"{""type"": ""Point"", ""coordinates"": [4.878632059169185, 45.733237389191295]}";8024;Mermoz / Michelet;avenue Mermoz;angle avenue Michelet;Lyon 8 ème;24;Non;Cité des Entreprises, itinéraire cyclable;45.7332373891914000;4.8786320591691900;12;OPEN;3;9;1;Vert;t;810;2015-07-01 16:09:13;2015-07-01 16:11:00
45.7546761674, 4.8298923282;"{""type"": ""Point"", ""coordinates"": [4.829892328199221, 45.754676167368494]}";2023;Hugo / Ste Hélène;Rue Sainte Hélène;Entre rue Victor Hugi et rue d'Auvergne;Lyon 2 ème;23;Non;commerces;45.7546761673686000;4.8298923281992200;20;OPEN;4;16;1;Vert;t;848;2015-07-01 16:09:52;2015-07-01 16:11:00
45.7444223014, 4.82214287044;"{""type"": ""Point"", ""coordinates"": [4.822142870439609, 45.74442230142222]}";2028;Sainte Blandine;Cours Charlemagne;face station tram Ste Blandine;Lyon 2 ème;28;Non;tram;45.7444223014223000;4.8221428704396100;16;OPEN;0;16;2;Bleu;t;847;2015-07-01 16:07:08;2015-07-01 16:11:00
45.7645636665, 4.89233360718;"{""type"": ""Point"", ""coordinates"": [4.892333607182114, 45.76456366652932]}";10117;La Pérralière;171 rue Léon Blum;;VILLEURBANNE;117;Non;Centre de quartier, commerces;45.7645636665294000;4.8923336071821100;22;OPEN;1;21;1;Vert;t;922;2015-07-01 16:07:22;2015-07-01 16:11:00
45.761788285, 4.88615728486;"{""type"": ""Point"", ""coordinates"": [4.886157284856601, 45.761788284968624]}";10034;MJC;Rue du Docteur Damidot;Devant la MJC;VILLEURBANNE;34;Non;MJC;45.7617882849687000;4.8861572848566000;10;OPEN;10;0;3;Orange;t;823;2015-07-01 16:09:13;2015-07-01 16:11:00
45.7794499266, 4.89150082453;"{""type"": ""Point"", ""coordinates"": [4.891500824527037, 45.77944992658253]}";10039;Bouvier / 8 mai 1945;Rue du Professeur Bouvier;Angle rue du 8 Mai 1945;VILLEURBANNE;39;Non;coeur quartier;45.7794499265826000;4.8915008245270400;16;OPEN;13;3;1;Vert;t;831;2015-07-01 16:09:32;2015-07-01 16:11:00
45.7578746008, 4.826223348;"{""type"": ""Point"", ""coordinates"": [4.826223347995765, 45.7578746007759]}";5040;Place Crépu;127 quai Fulchiron;;Lyon 5 ème;40;Non;Vieux Lyon, Parking;45.7578746007760000;4.8262233479957700;20;OPEN;14;5;1;Vert;t;915;2015-07-01 16:00:47;2015-07-01 16:11:00
45.7760929787, 4.82947495889;"{""type"": ""Point"", ""coordinates"": [4.829474958894087, 45.77609297865239]}";4017;Place des tapis;Boulevard des Canuts;angle boulevard de la Croix-Rousse;Lyon 4 ème;17;Oui;coeur de quartier;45.7760929786525000;4.8294749588940900;17;OPEN;8;9;1;Vert;t;1076;2015-07-01 16:03:45;2015-07-01 16:11:00
